File,Line,Index,Context
Bay_of_ConcepciC3B3n.html,7,422,"""Coordinates on Wikidata"",""All stub arti"
Bay_of_ConcepciC3B3n.html,46,628,"-quiriquina.jpg 2x"" data-file-width=""960"
Bay_of_ConcepciC3B3n.html,46,650,"ta-file-width=""960"" data-file-height=""11"
Bay_of_ConcepciC3B3n.html,59,447,"l photos, and other data for this locati"
Bay_of_ConcepciC3B3n.html,59,692,"l photos, and other data for this locati"
Bay_of_ConcepciC3B3n.html,61,18,"<table class=""metadata plainlinks stub"
Bay_of_ConcepciC3B3n.html,63,568,"C_Chile.svg.png 2x"" data-file-width=""600"
Bay_of_ConcepciC3B3n.html,63,590,"ta-file-width=""600"" data-file-height=""40"
Bay_of_ConcepciC3B3n.html,106,40,"s"" class=""catlinks"" data-mw=""interface"">"
Bay_of_ConcepciC3B3n.html,106,748,":Coordinates_on_Wikidata"" title=""Categor"
Bay_of_ConcepciC3B3n.html,106,789,":Coordinates on Wikidata"">Coordinates on"
Bay_of_ConcepciC3B3n.html,106,814,>Coordinates on Wikidata</a></li><li><a 
Bay_of_ConcepciC3B3n.html,189,1039,"ef=""https://www.wikidata.org/wiki/Q48741"
Bay_of_ConcepciC3B3n.html,189,1088,"=""Link to connected data repository item"
Bay_of_ConcepciC3B3n.html,189,1132,""" accesskey=""g"">Wikidata item</a></li><l"
Bay_of_ConcepciC3B3n.html,206,125,"ef=""https://www.wikidata.org/wiki/Q48741"
Bye_My_Boy.html,277,40,"s"" class=""catlinks"" data-mw=""interface"">"
Bye_My_Boy.html,360,999,"ef=""https://www.wikidata.org/wiki/Q50039"
Bye_My_Boy.html,360,1048,"=""Link to connected data repository item"
Bye_My_Boy.html,360,1092,""" accesskey=""g"">Wikidata item</a></li><l"
Bye_My_Boy.html,377,125,"ef=""https://www.wikidata.org/wiki/Q50039"
Valentin_Yanin.html,102,323," text"" href=""http://data.bnf.fr/ark:/121"
Valentin_Yanin.html,102,360,"12148/cb120449899"">(data)</a></span></sp"
Valentin_Yanin.html,145,40,"s"" class=""catlinks"" data-mw=""interface"">"
Valentin_Yanin.html,228,1007,"ef=""https://www.wikidata.org/wiki/Q19803"
Valentin_Yanin.html,228,1056,"=""Link to connected data repository item"
Valentin_Yanin.html,228,1100,""" accesskey=""g"">Wikidata item</a></li><l"
Valentin_Yanin.html,245,125,"ef=""https://www.wikidata.org/wiki/Q19803"
Kings_XI_Punjab_in_2014.html,222,487,"stralia.svg.png 2x"" data-file-width=""128"
Kings_XI_Punjab_in_2014.html,222,510,"a-file-width=""1280"" data-file-height=""64"
Kings_XI_Punjab_in_2014.html,230,487,"stralia.svg.png 2x"" data-file-width=""128"
Kings_XI_Punjab_in_2014.html,230,510,"a-file-width=""1280"" data-file-height=""64"
Kings_XI_Punjab_in_2014.html,238,485,"stralia.svg.png 2x"" data-file-width=""128"
Kings_XI_Punjab_in_2014.html,238,508,"a-file-width=""1280"" data-file-height=""64"
Kings_XI_Punjab_in_2014.html,246,449,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,246,472,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,254,451,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,254,474,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,270,485,"stralia.svg.png 2x"" data-file-width=""128"
Kings_XI_Punjab_in_2014.html,270,508,"a-file-width=""1280"" data-file-height=""64"
Kings_XI_Punjab_in_2014.html,278,449,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,278,472,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,294,451,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,294,474,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,302,451,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,302,474,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,318,485,"stralia.svg.png 2x"" data-file-width=""128"
Kings_XI_Punjab_in_2014.html,318,508,"a-file-width=""1280"" data-file-height=""64"
Kings_XI_Punjab_in_2014.html,326,451,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,326,474,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,342,449,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,342,472,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,375,459,"stralia.svg.png 2x"" data-file-width=""128"
Kings_XI_Punjab_in_2014.html,375,482,"a-file-width=""1280"" data-file-height=""64"
Kings_XI_Punjab_in_2014.html,377,498,"i_Lanka.svg.png 2x"" data-file-width=""120"
Kings_XI_Punjab_in_2014.html,377,521,"a-file-width=""1200"" data-file-height=""60"
Kings_XI_Punjab_in_2014.html,382,465,"arbados.svg.png 2x"" data-file-width=""150"
Kings_XI_Punjab_in_2014.html,382,488,"a-file-width=""1500"" data-file-height=""10"
Kings_XI_Punjab_in_2014.html,384,525,"_Africa.svg.png 2x"" data-file-width=""900"
Kings_XI_Punjab_in_2014.html,384,547,"ta-file-width=""900"" data-file-height=""60"
Kings_XI_Punjab_in_2014.html,389,492,"Zealand.svg.png 2x"" data-file-width=""120"
Kings_XI_Punjab_in_2014.html,389,515,"a-file-width=""1200"" data-file-height=""60"
Kings_XI_Punjab_in_2014.html,391,446,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,391,469,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,396,501,"_Africa.svg.png 2x"" data-file-width=""900"
Kings_XI_Punjab_in_2014.html,396,523,"ta-file-width=""900"" data-file-height=""60"
Kings_XI_Punjab_in_2014.html,398,447,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,398,470,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,403,423,"f_India.svg.png 2x"" data-file-width=""135"
Kings_XI_Punjab_in_2014.html,403,446,"a-file-width=""1350"" data-file-height=""90"
Kings_XI_Punjab_in_2014.html,565,40,"s"" class=""catlinks"" data-mw=""interface"">"
Kings_XI_Punjab_in_2014.html,648,1043,"ef=""https://www.wikidata.org/wiki/Q24907"
Kings_XI_Punjab_in_2014.html,648,1093,"=""Link to connected data repository item"
Kings_XI_Punjab_in_2014.html,648,1137,""" accesskey=""g"">Wikidata item</a></li><l"
Kings_XI_Punjab_in_2014.html,665,124,"ef=""https://www.wikidata.org/wiki/Q24907"
William_Harvey_Lillard.html,46,226," class=""thumbimage"" data-file-width=""220"
William_Harvey_Lillard.html,46,248,"ta-file-width=""220"" data-file-height=""25"
William_Harvey_Lillard.html,66,176," text"" href=""http://data.memberclicks.co"
William_Harvey_Lillard.html,82,178," text"" href=""http://data.memberclicks.co"
William_Harvey_Lillard.html,130,40,"s"" class=""catlinks"" data-mw=""interface"">"
William_Harvey_Lillard.html,213,1039,"ef=""https://www.wikidata.org/wiki/Q80109"
William_Harvey_Lillard.html,213,1088,"=""Link to connected data repository item"
William_Harvey_Lillard.html,213,1132,""" accesskey=""g"">Wikidata item</a></li><l"
William_Harvey_Lillard.html,230,124,"ef=""https://www.wikidata.org/wiki/Q80109"
Radial_Road_3.html,53,1061,"5-0428--ls-.jpg 2x"" data-file-width=""364"
Radial_Road_3.html,53,1084,"a-file-width=""3648"" data-file-height=""27"
Radial_Road_3.html,104,453,"TAR_tollway.jpg 2x"" data-file-width=""204"
Radial_Road_3.html,104,476,"a-file-width=""2048"" data-file-height=""15"
Radial_Road_3.html,302,441,"e_icone.svg.png 2x"" data-file-width=""128"
Radial_Road_3.html,302,463,"ta-file-width=""128"" data-file-height=""12"
Radial_Road_3.html,506,40,"s"" class=""catlinks"" data-mw=""interface"">"
Radial_Road_3.html,589,1003,"ef=""https://www.wikidata.org/wiki/Q25339"
Radial_Road_3.html,589,1053,"=""Link to connected data repository item"
Radial_Road_3.html,589,1097,""" accesskey=""g"">Wikidata item</a></li><l"
Radial_Road_3.html,606,125,"ef=""https://www.wikidata.org/wiki/Q25339"
George_Weldrick.html,195,40,"s"" class=""catlinks"" data-mw=""interface"">"
George_Weldrick.html,278,1011,"ef=""https://www.wikidata.org/wiki/Q55461"
George_Weldrick.html,278,1060,"=""Link to connected data repository item"
George_Weldrick.html,278,1104,""" accesskey=""g"">Wikidata item</a></li><l"
George_Weldrick.html,295,124,"ef=""https://www.wikidata.org/wiki/Q55461"
Zgornji_Otok.html,7,496,"""Coordinates on Wikidata"",""Pages using d"
Zgornji_Otok.html,54,586,"ion_map.svg.png 2x"" data-file-width=""115"
Zgornji_Otok.html,54,609,"a-file-width=""1159"" data-file-height=""85"
Zgornji_Otok.html,56,392,"Red_pog.svg.png 2x"" data-file-width=""64"""
Zgornji_Otok.html,56,413,"ata-file-width=""64"" data-file-height=""64"
Zgornji_Otok.html,66,370,"l photos, and other data for this locati"
Zgornji_Otok.html,66,626,"l photos, and other data for this locati"
Zgornji_Otok.html,66,1221,"l photos, and other data for this locati"
Zgornji_Otok.html,66,1477,"l photos, and other data for this locati"
Zgornji_Otok.html,70,448,"lovenia.svg.png 2x"" data-file-width=""120"
Zgornji_Otok.html,70,471,"a-file-width=""1200"" data-file-height=""60"
Zgornji_Otok.html,212,508,"dovljica_si.png 2x"" data-file-width=""300"
Zgornji_Otok.html,212,530,"ta-file-width=""300"" data-file-height=""20"
Zgornji_Otok.html,261,18,"<table class=""metadata plainlinks stub"
Zgornji_Otok.html,263,465,"lovenia.svg.png 2x"" data-file-width=""620"
Zgornji_Otok.html,263,487,"ta-file-width=""620"" data-file-height=""37"
Zgornji_Otok.html,312,40,"s"" class=""catlinks"" data-mw=""interface"">"
Zgornji_Otok.html,312,1091,":Coordinates_on_Wikidata"" title=""Categor"
Zgornji_Otok.html,312,1132,":Coordinates on Wikidata"">Coordinates on"
Zgornji_Otok.html,312,1157,>Coordinates on Wikidata</a></li><li><a 
Zgornji_Otok.html,395,999,"ef=""https://www.wikidata.org/wiki/Q21360"
Zgornji_Otok.html,395,1048,"=""Link to connected data repository item"
Zgornji_Otok.html,395,1092,""" accesskey=""g"">Wikidata item</a></li><l"
Zgornji_Otok.html,412,125,"ef=""https://www.wikidata.org/wiki/Q21360"
Blue_Heelers_(season_8).html,50,406,"stralia.svg.png 2x"" data-file-width=""128"
Blue_Heelers_(season_8).html,50,429,"a-file-width=""1280"" data-file-height=""64"
Blue_Heelers_(season_8).html,80,29,"ass=""plainlinks metadata ambox ambox-con"
Blue_Heelers_(season_8).html,83,429,"etter_w.svg.png 2x"" data-file-width=""44"""
Blue_Heelers_(season_8).html,83,450,"ata-file-width=""44"" data-file-height=""44"
Blue_Heelers_(season_8).html,106,29,"ass=""plainlinks metadata ambox mbox-smal"
Blue_Heelers_(season_8).html,108,488,"cropped.svg.png 2x"" data-file-width=""44"""
Blue_Heelers_(season_8).html,108,509,"ata-file-width=""44"" data-file-height=""31"
Blue_Heelers_(season_8).html,126,29,"ass=""plainlinks metadata ambox mbox-smal"
Blue_Heelers_(season_8).html,128,488,"cropped.svg.png 2x"" data-file-width=""44"""
Blue_Heelers_(season_8).html,128,509,"ata-file-width=""44"" data-file-height=""31"
Blue_Heelers_(season_8).html,134,29,"ass=""plainlinks metadata ambox mbox-smal"
Blue_Heelers_(season_8).html,136,488,"cropped.svg.png 2x"" data-file-width=""44"""
Blue_Heelers_(season_8).html,136,509,"ata-file-width=""44"" data-file-height=""31"
Blue_Heelers_(season_8).html,142,29,"ass=""plainlinks metadata ambox mbox-smal"
Blue_Heelers_(season_8).html,144,488,"cropped.svg.png 2x"" data-file-width=""44"""
Blue_Heelers_(season_8).html,144,509,"ata-file-width=""44"" data-file-height=""31"
Blue_Heelers_(season_8).html,661,421,"stralia.svg.png 2x"" data-file-width=""128"
Blue_Heelers_(season_8).html,661,444,"a-file-width=""1280"" data-file-height=""64"
Blue_Heelers_(season_8).html,696,421,"stralia.svg.png 2x"" data-file-width=""128"
Blue_Heelers_(season_8).html,696,444,"a-file-width=""1280"" data-file-height=""64"
Blue_Heelers_(season_8).html,731,421,"stralia.svg.png 2x"" data-file-width=""128"
Blue_Heelers_(season_8).html,731,444,"a-file-width=""1280"" data-file-height=""64"
Blue_Heelers_(season_8).html,740,450,"te-logo.svg.png 2x"" data-file-width=""300"
Blue_Heelers_(season_8).html,740,472,"ta-file-width=""300"" data-file-height=""35"
Blue_Heelers_(season_8).html,887,40,"s"" class=""catlinks"" data-mw=""interface"">"
Blue_Heelers_(season_8).html,970,1043,"ef=""https://www.wikidata.org/wiki/Q49292"
Blue_Heelers_(season_8).html,970,1092,"=""Link to connected data repository item"
Blue_Heelers_(season_8).html,970,1136,""" accesskey=""g"">Wikidata item</a></li><l"
Blue_Heelers_(season_8).html,987,124,"ef=""https://www.wikidata.org/wiki/Q49292"
Taggen_Nunatak.html,7,506,"""Coordinates on Wikidata"",""All stub arti"
Taggen_Nunatak.html,45,302,"PD-icon.svg.png 2x"" data-file-width=""196"
Taggen_Nunatak.html,45,324,"ta-file-width=""196"" data-file-height=""19"
Taggen_Nunatak.html,45,1395,"l photos, and other data for this locati"
Taggen_Nunatak.html,45,1640,"l photos, and other data for this locati"
Taggen_Nunatak.html,47,18,"<table class=""metadata plainlinks stub"
Taggen_Nunatak.html,49,481,"nd_stub_map.png 2x"" data-file-width=""291"
Taggen_Nunatak.html,49,503,"ta-file-width=""291"" data-file-height=""28"
Taggen_Nunatak.html,94,40,"s"" class=""catlinks"" data-mw=""interface"">"
Taggen_Nunatak.html,94,1079,":Coordinates_on_Wikidata"" title=""Categor"
Taggen_Nunatak.html,94,1120,":Coordinates on Wikidata"">Coordinates on"
Taggen_Nunatak.html,94,1145,>Coordinates on Wikidata</a></li><li><a 
Taggen_Nunatak.html,177,1007,"ef=""https://www.wikidata.org/wiki/Q76752"
Taggen_Nunatak.html,177,1056,"=""Link to connected data repository item"
Taggen_Nunatak.html,177,1100,""" accesskey=""g"">Wikidata item</a></li><l"
Taggen_Nunatak.html,194,125,"ef=""https://www.wikidata.org/wiki/Q76752"
Henri_BraqueniC3A9.html,44,102,"ass=""plainlinks metadata ambox ambox-sty"
Henri_BraqueniC3A9.html,47,512,"on_mark.svg.png 2x"" data-file-width=""48"""
Henri_BraqueniC3A9.html,47,533,"ata-file-width=""48"" data-file-height=""48"
Henri_BraqueniC3A9.html,93,40,"s"" class=""catlinks"" data-mw=""interface"">"
Henri_BraqueniC3A9.html,176,1031,"ef=""https://www.wikidata.org/wiki/Q57153"
Henri_BraqueniC3A9.html,176,1080,"=""Link to connected data repository item"
Henri_BraqueniC3A9.html,176,1124,""" accesskey=""g"">Wikidata item</a></li><l"
Henri_BraqueniC3A9.html,193,125,"ef=""https://www.wikidata.org/wiki/Q57153"
Vrila.html,7,539,"""Coordinates on Wikidata"",""All stub arti"
Vrila.html,58,698,"ion_map.svg.png 2x"" data-file-width=""106"
Vrila.html,58,721,"a-file-width=""1063"" data-file-height=""10"
Vrila.html,60,378,"Red_pog.svg.png 2x"" data-file-width=""64"""
Vrila.html,60,399,"ata-file-width=""64"" data-file-height=""64"
Vrila.html,70,348,"l photos, and other data for this locati"
Vrila.html,70,593,"l photos, and other data for this locati"
Vrila.html,74,499,"egovina.svg.png 2x"" data-file-width=""800"
Vrila.html,74,521,"ta-file-width=""800"" data-file-height=""40"
Vrila.html,100,435,"l photos, and other data for this locati"
Vrila.html,100,680,"l photos, and other data for this locati"
Vrila.html,101,18,"<table class=""metadata plainlinks stub"
Vrila.html,103,649,"p_Canton_10.png 2x"" data-file-width=""160"
Vrila.html,103,672,"a-file-width=""1600"" data-file-height=""15"
Vrila.html,152,40,"s"" class=""catlinks"" data-mw=""interface"">"
Vrila.html,152,1181,":Coordinates_on_Wikidata"" title=""Categor"
Vrila.html,152,1222,":Coordinates on Wikidata"">Coordinates on"
Vrila.html,152,1247,>Coordinates on Wikidata</a></li><li><a 
Vrila.html,235,971,"ef=""https://www.wikidata.org/wiki/Q30388"
Vrila.html,235,1020,"=""Link to connected data repository item"
Vrila.html,235,1064,""" accesskey=""g"">Wikidata item</a></li><l"
Vrila.html,252,125,"ef=""https://www.wikidata.org/wiki/Q30388"
William_Henry_Porter.html,49,315,"PD-icon.svg.png 2x"" data-file-width=""196"
William_Henry_Porter.html,49,337,"ta-file-width=""196"" data-file-height=""19"
